name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.admin_users\` has RLS policies but RLS is not enabled on the table. Policies include {""Admins can view admin_users"",""Owners can manage admin_users""}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""admin_users"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_admin_users
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.audit_logs\` has RLS policies but RLS is not enabled on the table. Policies include {""Admins can view audit_logs"",""Allow audit log insert""}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""audit_logs"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_audit_logs
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.credit_transactions\` has RLS policies but RLS is not enabled on the table. Policies include {credit_transactions_user_insert,credit_transactions_user_select}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""credit_transactions"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_credit_transactions
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.profiles\` has RLS policies but RLS is not enabled on the table. Policies include {profiles_user_insert,profiles_user_select,profiles_user_update}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""profiles"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_profiles
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.prompt_history\` has RLS policies but RLS is not enabled on the table. Policies include {prompt_history_user_delete,prompt_history_user_insert,prompt_history_user_select}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""prompt_history"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_prompt_history
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.prompt_templates\` has RLS policies but RLS is not enabled on the table. Policies include {""Admins can manage templates"",""Anyone can read templates"",""Anyone can view templates""}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""prompt_templates"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_prompt_templates
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.subscriptions\` has RLS policies but RLS is not enabled on the table. Policies include {""Admins can update subscriptions"",""Admins can view subscriptions"",""Users can view own subscription"",subscriptions_admin_all,subscriptions_user_select}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""subscriptions"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_subscriptions
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.support_tickets\` has RLS policies but RLS is not enabled on the table. Policies include {""Admins can update all tickets"",""Admins can view all tickets"",""Admins can view support_tickets"",""Anyone can create tickets"",""Users can view own tickets""}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""support_tickets"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_support_tickets
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.user_credits\` has RLS policies but RLS is not enabled on the table. Policies include {user_credits_user_insert,user_credits_user_select,user_credits_user_update}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""user_credits"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_user_credits
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.user_profiles\` has RLS policies but RLS is not enabled on the table. Policies include {user_profiles_user_insert,user_profiles_user_select,user_profiles_user_update}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""user_profiles"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_user_profiles
security_definer_view,Security Definer View,ERROR,EXTERNAL,"[""SECURITY""]","Detects views defined with the SECURITY DEFINER property. These views enforce Postgres permissions and row level security policies (RLS) of the view creator, rather than that of the querying user",View \`public.user_cohort_analysis\` is defined with the SECURITY DEFINER property,https://supabase.com/docs/guides/database/database-linter?lint=0010_security_definer_view,"{""name"":""user_cohort_analysis"",""type"":""view"",""schema"":""public""}",security_definer_view_public_user_cohort_analysis
security_definer_view,Security Definer View,ERROR,EXTERNAL,"[""SECURITY""]","Detects views defined with the SECURITY DEFINER property. These views enforce Postgres permissions and row level security policies (RLS) of the view creator, rather than that of the querying user",View \`public.category_analytics\` is defined with the SECURITY DEFINER property,https://supabase.com/docs/guides/database/database-linter?lint=0010_security_definer_view,"{""name"":""category_analytics"",""type"":""view"",""schema"":""public""}",security_definer_view_public_category_analytics
security_definer_view,Security Definer View,ERROR,EXTERNAL,"[""SECURITY""]","Detects views defined with the SECURITY DEFINER property. These views enforce Postgres permissions and row level security policies (RLS) of the view creator, rather than that of the querying user",View \`public.daily_analytics\` is defined with the SECURITY DEFINER property,https://supabase.com/docs/guides/database/database-linter?lint=0010_security_definer_view,"{""name"":""daily_analytics"",""type"":""view"",""schema"":""public""}",security_definer_view_public_daily_analytics
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.user_credits\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""user_credits"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_user_credits
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.user_profiles\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""user_profiles"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_user_profiles
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.credit_transactions\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""credit_transactions"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_credit_transactions
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.admin_users\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""admin_users"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_admin_users
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.profiles\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""profiles"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_profiles
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.prompt_history\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""prompt_history"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_prompt_history
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.support_tickets\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""support_tickets"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_support_tickets
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.subscriptions\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""subscriptions"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_subscriptions
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.audit_logs\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""audit_logs"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_audit_logs
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.analytics_events\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""analytics_events"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_analytics_events
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.prompt_templates\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""prompt_templates"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_prompt_templates